ticker,date,close,future_close,future_return,label,pred
GEX,2025-01-02,17757.21228,20046.958074,0.12894736842105256,1,1
SBT,2025-01-02,11681.935,13500.0,0.15563046704163314,1,1
GEE,2025-01-02,26457.298490727,35753.10606855,0.35135135135135126,1,1
VSC,2025-01-02,12417.28,14047.048,0.13125,1,1
GEE,2025-01-03,25781.9620427655,35117.495293998,0.36209553158705704,1,1
VSC,2025-01-03,12262.064,14008.244,0.14240506329113925,1,1
GEX,2025-01-03,17196.458208,20093.68758,0.1684782608695653,1,1
VCG,2025-01-03,16173.908229,18139.797627,0.1215469613259668,1,1
SBT,2025-01-03,11409.205,13500.0,0.18325509971991916,1,1
SBT,2025-01-06,11045.565,13500.0,0.22221000012222095,1,1
GEE,2025-01-06,24629.91751389,35117.495293998,0.42580645161290326,1,1
VSC,2025-01-06,12106.848,13581.4,0.12179487179487176,1,1
VCG,2025-01-06,16307.9461425,18139.797627,0.11232876712328761,1,1
GEX,2025-01-06,16822.62216,19626.39252,0.16666666666666682,1,1
HHV,2025-01-07,10857.36,12095.48,0.11403508771929814,1,1
VSC,2025-01-07,12106.848,13736.616,0.1346153846153846,1,1
GEX,2025-01-07,16962.810678,19813.310544,0.16804407713498612,1,1
VCG,2025-01-07,15995.191011,18631.2699765,0.16480446927374295,1,1
GEE,2025-01-07,24073.758086157,34998.3182737695,0.45379537953795396,1,1
SBT,2025-01-07,11045.565,13600.0,0.2312634075305337,1,1
VSC,2025-01-08,12339.672,14008.244,0.13522012578616352,1,1
VCG,2025-01-08,16218.5875335,19256.7802395,0.18732782369146003,1,1
GEE,2025-01-08,24510.7404936615,37421.584351749,0.5267423014586711,1,1
GEX,2025-01-08,17009.540184,20140.417086,0.18406593406593405,1,1
HHV,2025-01-08,11000.22,12381.2,0.12554112554112568,1,1
SBT,2025-01-08,11181.93,13400.0,0.19836200011983618,1,1
GEE,2025-01-09,24113.4837595665,39606.4963892715,0.642504118616145,1,1
SBT,2025-01-09,11454.66,13500.0,0.17855964297499885,1,1
VSC,2025-01-09,12339.672,14396.284,0.1666666666666666,1,1
VCG,2025-01-09,16084.54962,19435.4974575,0.20833333333333345,1,1
HHV,2025-01-09,10857.36,12381.2,0.14035087719298245,1,1
GEX,2025-01-09,17336.646726,20747.900664,0.1967654986522912,1,1
