organizationId,ticker,year,quarter,ratios
2739,ACB,2020,1,
2739,ACB,2020,2,
2739,ACB,2020,3,
2739,ACB,2020,4,
2812,BID,2020,1,
2812,BID,2020,2,
2812,BID,2020,3,
2812,BID,2020,4,
1858,BCM,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.89619816}, 'ProfitabilityRatio': {'EBITMargin': 0.25897159, 'ROA': 0.050705, 'ROE': 0.163143, 'ROIC': 0.05904564}, 'ValuationRatios': {'BasicEPS': 300.17154346, 'PriceToBook': 1.79848548, 'PriceToEarning': 11.91192522}, 'Growth': {'NetRevenueGrowthYoY': -0.08139214, 'GrossProfitGrowthYoY': 0.14764445}}"
1858,BCM,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.90909204}, 'ProfitabilityRatio': {'EBITMargin': 0.1535076, 'ROA': 0.044144, 'ROE': 0.137029, 'ROIC': 0.04988868}, 'ValuationRatios': {'BasicEPS': 278.28276027, 'PriceToBook': 2.78415772, 'PriceToEarning': 21.01427763}, 'Growth': {'NetRevenueGrowthYoY': 0.18696026, 'GrossProfitGrowthYoY': -0.35390538}}"
1858,BCM,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.96219869}, 'ProfitabilityRatio': {'EBITMargin': 0.31249341, 'ROA': 0.045687, 'ROE': 0.139237, 'ROIC': 0.05433463}, 'ValuationRatios': {'BasicEPS': 565.7965802, 'PriceToBook': 4.02258298, 'PriceToEarning': 29.77920053}, 'Growth': {'NetRevenueGrowthYoY': 0.1167436, 'GrossProfitGrowthYoY': 0.15361231}}"
1858,BCM,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.89038013}, 'ProfitabilityRatio': {'EBITMargin': 0.2656723, 'ROA': 0.045302, 'ROE': 0.139676, 'ROIC': 0.05661419}, 'ValuationRatios': {'BasicEPS': 747.59974302, 'PriceToBook': 3.73463905, 'PriceToEarning': 29.70636223}, 'Growth': {'NetRevenueGrowthYoY': -0.28692521, 'GrossProfitGrowthYoY': -0.05133507}}"
2560,CTG,2020,1,
2560,CTG,2020,2,
2560,CTG,2020,3,
2560,CTG,2020,4,
2589,DGC,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.23547359}, 'ProfitabilityRatio': {'EBITMargin': 0.13042921, 'ROA': 0.135441, 'ROE': 0.191157, 'ROIC': 0.15287406}, 'ValuationRatios': {'BasicEPS': 1465.33676127, 'PriceToBook': 1.46535827, 'PriceToEarning': 8.00339666}, 'Growth': {'NetRevenueGrowthYoY': 0.30562326, 'GrossProfitGrowthYoY': 0.55149421}}"
2589,DGC,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.2985968}, 'ProfitabilityRatio': {'EBITMargin': 0.18639598, 'ROA': 0.14847, 'ROE': 0.212115, 'ROIC': 0.17074563}, 'ValuationRatios': {'BasicEPS': 1973.03020275, 'PriceToBook': 1.68368836, 'PriceToEarning': 8.43061609}, 'Growth': {'NetRevenueGrowthYoY': 0.19173243, 'GrossProfitGrowthYoY': 0.77565584}}"
2589,DGC,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.30812975}, 'ProfitabilityRatio': {'EBITMargin': 0.15201217, 'ROA': 0.160375, 'ROE': 0.232892, 'ROIC': 0.185041}, 'ValuationRatios': {'BasicEPS': 1515.93592422, 'PriceToBook': 1.99664744, 'PriceToEarning': 9.27667858}, 'Growth': {'NetRevenueGrowthYoY': 0.3479184, 'GrossProfitGrowthYoY': 0.88515013}}"
2589,DGC,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.28248909}, 'ProfitabilityRatio': {'EBITMargin': 0.16259501, 'ROA': 0.171102, 'ROE': 0.250635, 'ROIC': 0.20772689}, 'ValuationRatios': {'BasicEPS': 1588.0194684, 'PriceToBook': 2.65885215, 'PriceToEarning': 11.46917231}, 'Growth': {'NetRevenueGrowthYoY': 0.09273272, 'GrossProfitGrowthYoY': 0.19587358}}"
2983,FPT,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.56093761}, 'ProfitabilityRatio': {'EBITMargin': 0.15837542, 'ROA': 0.099631, 'ROE': 0.233948, 'ROIC': 0.16789889}, 'ValuationRatios': {'BasicEPS': 1095.86302196, 'PriceToBook': 2.36922618, 'PriceToEarning': 10.68025699}, 'Growth': {'NetRevenueGrowthYoY': 0.17013832, 'GrossProfitGrowthYoY': 0.15138134}}"
2983,FPT,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.57949745}, 'ProfitabilityRatio': {'EBITMargin': 0.15796325, 'ROA': 0.098136, 'ROE': 0.233301, 'ROIC': 0.16197726}, 'ValuationRatios': {'BasicEPS': 1120.82212178, 'PriceToBook': 2.76685824, 'PriceToEarning': 12.34152166}, 'Growth': {'NetRevenueGrowthYoY': 0.02257337, 'GrossProfitGrowthYoY': 0.05570904}}"
2983,FPT,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.60551538}, 'ProfitabilityRatio': {'EBITMargin': 0.15785984, 'ROA': 0.093461, 'ROE': 0.225294, 'ROIC': 0.15546519}, 'ValuationRatios': {'BasicEPS': 1184.82478002, 'PriceToBook': 3.48684416, 'PriceToEarning': 15.82580422}, 'Growth': {'NetRevenueGrowthYoY': 0.06316593, 'GrossProfitGrowthYoY': 0.07764077}}"
2983,FPT,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.68485746}, 'ProfitabilityRatio': {'EBITMargin': 0.14506286, 'ROA': 0.094185, 'ROE': 0.238171, 'ROIC': 0.16169587}, 'ValuationRatios': {'BasicEPS': 1253.64716878, 'PriceToBook': 4.14596146, 'PriceToEarning': 18.39197824}, 'Growth': {'NetRevenueGrowthYoY': 0.06730346, 'GrossProfitGrowthYoY': 0.13021459}}"
2941,GAS,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.05146172}, 'ProfitabilityRatio': {'EBITMargin': 0.15669696, 'ROA': 0.176062, 'ROE': 0.2373, 'ROIC': 0.22409872}, 'ValuationRatios': {'BasicEPS': 1218.96655525, 'PriceToBook': 2.6685069, 'PriceToEarning': 12.06811522}, 'Growth': {'NetRevenueGrowthYoY': -0.08290051, 'GrossProfitGrowthYoY': -0.23797228}}"
2941,GAS,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.04129944}, 'ProfitabilityRatio': {'EBITMargin': 0.12243927, 'ROA': 0.155353, 'ROE': 0.202645, 'ROIC': 0.19368017}, 'ValuationRatios': {'BasicEPS': 926.38542011, 'PriceToBook': 2.65179044, 'PriceToEarning': 13.89881266}, 'Growth': {'NetRevenueGrowthYoY': -0.23382101, 'GrossProfitGrowthYoY': -0.43685485}}"
2941,GAS,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.05461855}, 'ProfitabilityRatio': {'EBITMargin': 0.14046476, 'ROA': 0.142453, 'ROE': 0.184089, 'ROIC': 0.17688925}, 'ValuationRatios': {'BasicEPS': 1057.17548957, 'PriceToBook': 3.54643129, 'PriceToEarning': 18.14046245}, 'Growth': {'NetRevenueGrowthYoY': -0.16288065, 'GrossProfitGrowthYoY': -0.32882574}}"
2941,GAS,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.06034101}, 'ProfitabilityRatio': {'EBITMargin': 0.11712488, 'ROA': 0.125291, 'ROE': 0.162053, 'ROIC': 0.14595159}, 'ValuationRatios': {'BasicEPS': 878.9632067, 'PriceToBook': 3.23630599, 'PriceToEarning': 19.95587328}, 'Growth': {'NetRevenueGrowthYoY': -0.10353248, 'GrossProfitGrowthYoY': -0.31798923}}"
3101,HDB,2020,1,
3101,HDB,2020,2,
3101,HDB,2020,3,
3101,HDB,2020,4,
3021,HPG,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.82582747}, 'ProfitabilityRatio': {'EBITMargin': 0.17428512, 'ROA': 0.080049, 'ROE': 0.170533, 'ROIC': 0.11430782}, 'ValuationRatios': {'BasicEPS': 827.68039682, 'PriceToBook': 1.56096761, 'PriceToEarning': 9.74225139}, 'Growth': {'NetRevenueGrowthYoY': 0.28532954, 'GrossProfitGrowthYoY': 0.43578093}}"
