organizationId,ticker,year,quarter,DebtToEquityRatio,EBITMargin,ROA,ROE,ROIC,EPS,PB,PE,NetRevenueGrowthYoY,GrossProfitGrowthYoY
1858,BCM,2020,1,0.89619816,0.25897159,0.050705,0.163143,0.05904564,300.17154346,1.79848548,11.91192522,-0.08139214,0.14764445
1858,BCM,2020,2,0.90909204,0.1535076,0.044144,0.137029,0.04988868,278.28276027,2.78415772,21.01427763,0.18696026,-0.35390538
1858,BCM,2020,3,0.96219869,0.31249341,0.045687,0.139237,0.05433463,565.7965802,4.02258298,29.77920053,0.1167436,0.15361231
1858,BCM,2020,4,0.89038013,0.2656723,0.045302,0.139676,0.05661419,747.59974302,3.73463905,29.70636223,-0.28692521,-0.05133507
2589,DGC,2020,1,0.23547359,0.13042921,0.135441,0.191157,0.15287406,1465.33676127,1.46535827,8.00339666,0.30562326,0.55149421
2589,DGC,2020,2,0.2985968,0.18639598,0.14847,0.212115,0.17074563,1973.03020275,1.68368836,8.43061609,0.19173243,0.77565584
2589,DGC,2020,3,0.30812975,0.15201217,0.160375,0.232892,0.185041,1515.93592422,1.99664744,9.27667858,0.3479184,0.88515013
2589,DGC,2020,4,0.28248909,0.16259501,0.171102,0.250635,0.20772689,1588.0194684,2.65885215,11.46917231,0.09273272,0.19587358
2983,FPT,2020,1,0.56093761,0.15837542,0.099631,0.233948,0.16789889,1095.86302196,2.36922618,10.68025699,0.17013832,0.15138134
2983,FPT,2020,2,0.57949745,0.15796325,0.098136,0.233301,0.16197726,1120.82212178,2.76685824,12.34152166,0.02257337,0.05570904
2983,FPT,2020,3,0.60551538,0.15785984,0.093461,0.225294,0.15546519,1184.82478002,3.48684416,15.82580422,0.06316593,0.07764077
2983,FPT,2020,4,0.68485746,0.14506286,0.094185,0.238171,0.16169587,1253.64716878,4.14596146,18.39197824,0.06730346,0.13021459
2941,GAS,2020,1,0.05146172,0.15669696,0.176062,0.2373,0.22409872,1218.96655525,2.6685069,12.06811522,-0.08290051,-0.23797228
2941,GAS,2020,2,0.04129944,0.12243927,0.155353,0.202645,0.19368017,926.38542011,2.65179044,13.89881266,-0.23382101,-0.43685485
2941,GAS,2020,3,0.05461855,0.14046476,0.142453,0.184089,0.17688925,1057.17548957,3.54643129,18.14046245,-0.16288065,-0.32882574
2941,GAS,2020,4,0.06034101,0.11712488,0.125291,0.162053,0.14595159,878.9632067,3.23630599,19.95587328,-0.10353248,-0.31798923
3021,HPG,2020,1,0.82582747,0.17428512,0.080049,0.170533,0.11430782,827.68039682,1.56096761,9.74225139,0.28532954,0.43578093
3021,HPG,2020,2,0.8114432,0.1611456,0.083055,0.177768,0.11809486,993.39127068,1.95364991,11.76803454,0.30638486,0.22422936
3021,HPG,2020,3,0.8229472,0.19069066,0.097653,0.209446,0.13905893,1138.66146032,2.36715354,12.1027347,0.63621071,0.91307026
3021,HPG,2020,4,0.91425036,0.2238279,0.11531,0.252127,0.16771067,1399.77631329,3.09054785,13.57307077,0.43408273,1.21013515
3378,MSN,2020,1,0.76167576,0.00302825,0.053839,0.122969,0.04758253,-66.81914586,1.37349891,12.60262435,1.16143668,0.60842288
3378,MSN,2020,2,1.56044617,-0.01022212,0.03995,0.106884,0.02572196,167.12656799,4.26367712,25.91209728,0.92060627,0.46012934
3378,MSN,2020,3,1.87387371,0.03225478,0.023202,0.075015,0.02014849,724.87799264,4.68490361,39.6850826,1.25408004,0.98135009
3378,MSN,2020,4,2.47744298,0.05360788,0.011584,0.04203,0.01306933,225.78513083,7.22308732,93.29062628,0.96794342,0.54315409
3361,MWG,2020,1,0.86838404,0.05442123,0.109266,0.332571,0.19543187,2496.67714147,2.51633268,8.42728275,0.17331146,0.38932769
3361,MWG,2020,2,0.82072928,0.04683668,0.100218,0.293038,0.17246908,1972.40067781,3.24601955,12.24091204,-0.01196071,0.21517161
3361,MWG,2020,3,0.85452967,0.04495281,0.097316,0.279036,0.1590576,2097.34975987,4.03184522,15.60021977,0.02272954,0.16377972
3361,MWG,2020,4,1.08204318,0.04529741,0.089305,0.283811,0.15726675,2078.05929346,4.30364244,16.29940586,0.07015484,0.16954517
3439,VHM,2020,1,0.36808068,0.33297552,0.146172,0.454525,0.23419223,2043.23110885,3.97315562,9.8851929,0.11390132,1.21938346
3439,VHM,2020,2,0.54660397,0.32482398,0.110498,0.361389,0.18081291,1025.44670736,3.6411301,11.53524089,-0.21580479,-0.30522739
3439,VHM,2020,3,0.40379248,0.28465013,0.105589,0.341099,0.18690662,1808.71648271,3.83838921,12.92439642,1.4282446,0.34722435
