ticker,Volatility,VolumeAccum,VolumeBreakout,MAtrend1,MAtrend2,PriceBreakout,EMA_score,MACD_score,ADX_score,FA_PE_ROE,score
VPI,2,0,2,1,2,2,2,3,0,0,14
TLG,2,2,2,1,0,2,2,3,0,0,14
BID,2,0,0,1,2,2,2,3,0,0,12
HPG,0,0,2,1,2,2,2,3,0,0,12
TCH,0,0,2,1,2,2,2,3,0,0,12
HSG,0,0,2,1,2,2,2,3,0,0,12
NKG,0,0,2,1,2,2,2,3,0,0,12
PNJ,2,0,2,1,2,0,2,3,0,0,12
VCB,2,0,0,1,2,2,2,3,0,0,12
IMP,2,0,0,1,2,2,2,3,0,0,12
VNM,2,0,0,1,2,0,2,3,0,0,10
MSB,0,0,0,1,2,2,2,3,0,0,10
DXG,0,0,0,1,2,2,2,3,0,0,10
BMP,2,0,0,1,0,2,2,3,0,0,10
MWG,0,0,0,1,2,2,2,3,0,0,10
GMD,0,0,0,1,2,2,2,3,0,0,10
PDR,0,0,0,1,2,2,2,3,0,0,10
VCI,0,0,0,1,2,2,2,3,0,0,10
NT2,0,0,0,1,2,2,2,3,0,0,10
SSI,0,0,0,1,2,2,2,3,0,0,10
VND,0,0,0,1,2,2,2,3,0,0,10
KBC,0,0,0,1,2,2,2,3,0,0,10
DXS,0,0,0,1,2,2,2,3,0,0,10
KOS,0,2,0,1,2,2,2,0,0,0,9
VIB,0,0,0,1,2,0,2,3,0,0,8
BSI,0,0,0,1,2,0,2,3,0,0,8
LPB,0,0,0,1,2,0,2,3,0,0,8
VHM,0,0,0,1,2,0,2,3,0,0,8
DSE,0,0,0,1,2,0,2,3,0,0,8
CTG,0,0,0,1,2,2,2,0,0,0,7
MSN,0,0,0,1,2,2,2,0,0,0,7
SHB,0,0,0,1,2,2,2,0,0,0,7
HDB,0,0,0,1,2,2,2,0,0,0,7
MBB,0,0,0,1,2,2,2,0,0,0,7
ANV,0,0,0,1,2,2,2,0,0,0,7
BCM,2,2,0,0,2,0,1,0,0,0,7
PVT,2,0,0,1,2,0,2,0,0,0,7
GAS,2,2,0,0,2,0,1,0,0,0,7
POW,0,0,0,1,2,2,2,0,0,0,7
KDC,2,2,0,0,0,0,0,3,0,0,7
VHC,2,0,0,1,2,0,2,0,0,0,7
SBT,0,0,0,1,2,2,2,0,0,0,7
SCS,2,2,0,0,0,0,0,3,0,0,7
PVD,2,0,0,1,2,0,2,0,0,0,7
KDH,0,0,0,1,2,2,2,0,0,0,7
HCM,0,0,0,1,2,2,2,0,0,0,7
HHV,0,0,0,1,2,2,2,0,0,0,7
CMG,0,2,0,1,2,0,2,0,0,0,7
DIG,0,0,0,1,2,2,2,0,0,0,7
CTD,2,2,0,0,0,0,0,3,0,0,7
CTR,2,2,0,0,0,0,0,3,0,0,7
CTS,0,0,0,1,2,2,2,0,0,0,7
GEE,0,2,0,1,2,0,1,0,0,0,6
ACB,0,0,0,1,2,0,2,0,0,0,5
VIX,0,0,0,1,2,0,2,0,0,0,5
NAB,0,0,0,1,2,0,2,0,0,0,5
VPB,0,0,0,1,2,0,2,0,0,0,5
CII,0,0,0,1,2,0,2,0,0,0,5
VRE,0,0,0,1,2,0,2,0,0,0,5
BVH,0,0,0,1,2,0,2,0,0,0,5
TPB,0,0,0,1,2,0,2,0,0,0,5
TCB,0,0,0,1,2,0,2,0,0,0,5
SSB,0,0,0,1,2,0,2,0,0,0,5
FPT,2,0,0,0,0,0,0,3,0,0,5
STB,0,0,0,1,2,0,2,0,0,0,5
VIC,0,0,0,1,2,0,2,0,0,0,5
VJC,0,0,0,1,2,0,2,0,0,0,5
GVR,2,0,0,0,2,0,1,0,0,0,5
VSC,0,0,0,1,2,0,2,0,0,0,5
VCG,0,0,0,1,2,0,2,0,0,0,5
PAN,0,0,0,1,2,0,2,0,0,0,5
SJS,0,0,0,1,2,0,2,0,0,0,5
HDC,0,0,0,1,2,0,2,0,0,0,5
VGC,0,0,0,1,2,0,2,0,0,0,5
PPC,2,0,0,0,0,0,0,3,0,0,5
HAG,0,0,0,1,2,0,2,0,0,0,5
EIB,0,0,0,1,2,0,2,0,0,0,5
EVF,0,0,0,1,2,0,2,0,0,0,5
DCM,0,0,0,1,2,0,2,0,0,0,5
DPM,0,0,0,1,2,0,2,0,0,0,5
FTS,2,0,0,0,2,0,1,0,0,0,5
HT1,0,0,0,1,2,0,2,0,0,0,5
HDG,0,0,0,1,2,0,2,0,0,0,5
PC1,0,0,0,1,2,0,2,0,0,0,5
NLG,0,0,0,1,2,0,2,0,0,0,5
OCB,0,0,0,1,2,0,2,0,0,0,5
PLX,2,0,0,0,2,0,0,0,0,0,4
SAB,2,2,0,0,0,0,0,0,0,0,4
SZC,2,2,0,0,0,0,0,0,0,0,4
BWE,2,0,0,0,2,0,0,0,0,0,4
DGW,2,0,0,0,0,0,2,0,0,0,4
DBC,2,2,0,0,0,0,0,0,0,0,4
SIP,2,2,0,0,0,0,0,0,0,0,4
GEX,0,0,0,1,2,0,1,0,0,0,4
PTB,2,0,2,0,0,0,0,0,0,0,4
DGC,2,0,0,0,0,0,0,0,0,0,2
FRT,2,0,0,0,0,0,0,0,0,0,2
PHR,0,2,0,0,0,0,0,0,0,0,2
REE,2,0,0,0,0,0,0,0,0,0,2
VTP,0,2,0,0,0,0,0,0,0,0,2
