ticker	Volatility	VolumeAccum	VolumeBreakout	MAtrend1	MAtrend2	PriceBreakout	EMA_score	MACD_score	ADX_score	FA_PE_ROE	score	SVM_boosted
HPG	0	0	2	1	2	2	2	3	0	0	15	3
NKG	0	0	2	1	2	2	2	3	0	0	15	3
HSG	0	0	2	1	2	2	2	3	0	0	15	3
TCH	0	0	2	1	2	2	2	3	0	0	15	3
VPI	2	0	2	1	2	2	2	3	0	0	14	0
TLG	2	2	2	1	0	2	2	3	0	0	14	0
KBC	0	0	0	1	2	2	2	3	0	0	13	3
DXG	0	0	0	1	2	2	2	3	0	0	13	3
PDR	0	0	0	1	2	2	2	3	0	0	13	3
NT2	0	0	0	1	2	2	2	3	0	0	13	3
SSI	0	0	0	1	2	2	2	3	0	0	13	3
VND	0	0	0	1	2	2	2	3	0	0	13	3
DXS	0	0	0	1	2	2	2	3	0	0	13	3
BID	2	0	0	1	2	2	2	3	0	0	12	0
IMP	2	0	0	1	2	2	2	3	0	0	12	0
PNJ	2	0	2	1	2	0	2	3	0	0	12	0
VCB	2	0	0	1	2	2	2	3	0	0	12	0
DSE	0	0	0	1	2	0	2	3	0	0	11	3
MSB	0	0	0	1	2	2	2	3	0	0	10	0
VNM	2	0	0	1	2	0	2	3	0	0	10	0
VCI	0	0	0	1	2	2	2	3	0	0	10	0
BMP	2	0	0	1	0	2	2	3	0	0	10	0
MWG	0	0	0	1	2	2	2	3	0	0	10	0
GMD	0	0	0	1	2	2	2	3	0	0	10	0
ANV	0	0	0	1	2	2	2	0	0	0	10	3
PVD	2	0	0	1	2	0	2	0	0	0	10	3
CTS	0	0	0	1	2	2	2	0	0	0	10	3
DIG	0	0	0	1	2	2	2	0	0	0	10	3
KDH	0	0	0	1	2	2	2	0	0	0	10	3
HCM	0	0	0	1	2	2	2	0	0	0	10	3
HHV	0	0	0	1	2	2	2	0	0	0	10	3
CMG	0	2	0	1	2	0	2	0	0	0	10	3
SBT	0	0	0	1	2	2	2	0	0	0	10	3
PVT	2	0	0	1	2	0	2	0	0	0	10	3
POW	0	0	0	1	2	2	2	0	0	0	10	3
KOS	0	2	0	1	2	2	2	0	0	0	9	0
GEE	0	2	0	1	2	0	1	0	0	0	9	3
NLG	0	0	0	1	2	0	2	0	0	0	8	3
HAG	0	0	0	1	2	0	2	0	0	0	8	3
HDG	0	0	0	1	2	0	2	0	0	0	8	3
FTS	2	0	0	0	2	0	1	0	0	0	8	3
HT1	0	0	0	1	2	0	2	0	0	0	8	3
LPB	0	0	0	1	2	0	2	3	0	0	8	0
VHM	0	0	0	1	2	0	2	3	0	0	8	0
BSI	0	0	0	1	2	0	2	3	0	0	8	0
VIB	0	0	0	1	2	0	2	3	0	0	8	0
PC1	0	0	0	1	2	0	2	0	0	0	8	3
VIX	0	0	0	1	2	0	2	0	0	0	8	3
CII	0	0	0	1	2	0	2	0	0	0	8	3
VRE	0	0	0	1	2	0	2	0	0	0	8	3
GVR	2	0	0	0	2	0	1	0	0	0	8	3
VSC	0	0	0	1	2	0	2	0	0	0	8	3
