organizationId,ticker,year,quarter,DebtToEquityRatio,EBITMargin,ROA,ROE,ROIC,EPS,PB,PE,NetRevenueGrowthYoY,GrossProfitGrowthYoY
1858,BCM,2022,1,0.89860634,0.3803697,0.025478,0.078864,0.06196926,410.21769264,4.49677455,59.97832111,0.02460651,0.41499795
1858,BCM,2022,2,0.86096847,0.39506905,0.034786,0.105309,0.07033345,916.85003792,4.87615255,49.60388337,0.14091087,0.28380426
1858,BCM,2022,3,0.81515677,0.17323775,0.037752,0.111005,0.07447126,196.40021242,4.96737724,46.70476967,1.97342033,0.61487167
1858,BCM,2022,4,0.89062395,-0.27212861,0.034943,0.103534,0.04075743,54.40433028,4.81062838,48.33971825,-0.71755344,-0.79374319
2589,DGC,2022,1,0.11302518,0.41694014,0.444537,0.604906,0.52923525,7808.19294252,4.73911729,10.03676039,0.86456275,2.96251145
2589,DGC,2022,2,0.10392805,0.48393561,0.539381,0.717375,0.64322149,4809.5360258,3.41576474,6.18059387,0.96333848,3.29919414
2589,DGC,2022,3,0.0798912,0.3970319,0.551974,0.708652,0.64179215,3723.08085416,2.12889594,3.85024084,0.75460325,1.57097591
2589,DGC,2022,4,0.04316048,0.34641325,0.507626,0.673408,0.67548981,2718.42593295,1.94772948,3.65788039,-0.09975121,-0.2021089
2983,FPT,2022,1,0.98891585,0.1454902,0.091241,0.263214,0.13835915,1365.07869976,4.86645317,19.91298352,0.28260395,0.36579184
2983,FPT,2022,2,0.93383063,0.15656653,0.091958,0.266925,0.13375608,1140.19159671,3.9877748,15.78317176,0.16829462,0.11700175
2983,FPT,2022,3,0.7620079,0.15846572,0.095051,0.273954,0.13822745,1325.14226918,4.59867824,17.44349109,0.27774662,0.340997
2983,FPT,2022,4,0.48858401,0.15320124,0.10081,0.272401,0.17082296,1232.05867598,4.1334349,16.38271089,0.21845651,0.28011785
2941,GAS,2022,1,0.15463542,0.1567641,0.129134,0.199868,0.18439794,1791.41503987,3.72921403,20.19991716,0.51897488,0.57104525
2941,GAS,2022,2,0.13581909,0.22405473,0.158387,0.240846,0.2235374,2657.59002055,3.58108524,16.48817413,0.2181212,0.82756395
2941,GAS,2022,3,0.15484348,0.14728498,0.160002,0.243756,0.2304329,1582.71370676,3.60221387,15.10382377,0.31204165,0.29045668
2941,GAS,2022,4,0.09920464,0.17396727,0.183339,0.266751,0.25556367,1698.07864138,2.94809631,11.92474708,0.09292079,0.38057857
3021,HPG,2022,1,0.60816701,0.21035306,0.204528,0.411284,0.28641963,1837.0450146,1.25930901,3.48390124,0.41316752,0.23527735
3021,HPG,2022,2,0.70078075,0.15187017,0.160961,0.321703,0.23313456,901.47596461,0.97892426,3.253203,0.06559816,-0.43020052
3021,HPG,2022,3,0.66786111,0.00209135,0.094799,0.184946,0.14710281,-305.10730884,1.29101019,7.06446433,-0.11818037,-0.91562802
3021,HPG,2022,4,0.60241963,-0.07528173,0.048675,0.090911,0.08207305,-342.49731651,1.31428285,14.87365978,-0.42238181,-1.09233463
3378,MSN,2022,1,1.59058805,0.06178279,0.080663,0.386632,0.07418102,1351.82811653,5.692322,15.61311435,-0.08947977,0.17963965
3378,MSN,2022,2,1.46592657,0.05657609,0.081445,0.366112,0.07054862,688.97514463,4.04678763,11.57528635,-0.15953599,0.02479614
3378,MSN,2022,3,1.71147907,0.05916036,0.075836,0.331977,0.06189963,381.50280167,5.66154773,15.19552064,-0.17292044,-0.11021314
3378,MSN,2022,4,1.93775445,0.06691981,0.026675,0.120989,0.0501538,314.00028994,3.93594366,28.85770054,-0.1336683,-0.19238471
3361,MWG,2022,1,1.12266082,0.0506981,0.087271,0.252768,0.12025212,2025.71193464,4.0961384,17.6845433,0.18290212,0.15648784
3361,MWG,2022,2,0.99735837,0.05906653,0.083892,0.236221,0.12147365,771.92908608,3.47731521,15.66470415,0.08463218,0.02699413
3361,MWG,2022,3,0.97904337,0.05414215,0.082052,0.229617,0.12807059,619.07153689,2.90176498,13.41058806,0.31556729,0.21405361
3361,MWG,2022,4,0.69317172,0.03380294,0.069016,0.185155,0.11788176,422.87691473,2.39836906,13.99696435,-0.15357513,0.07520369
3439,VHM,2022,1,0.18715656,0.27588074,0.17071,0.326768,0.23707957,1042.64649229,1.97464584,6.65387373,-0.31286101,-0.3776956
3439,VHM,2022,2,0.24601408,0.27697701,0.11287,0.229771,0.15885822,153.0587393,1.56425094,6.68225385,-0.84042774,-0.85988124
